---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnV
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnV
data,C,BC,-4.42877027954016,-5.06901079129107
data,B,BC,-3.77259321200122,-4.1430682032218
data,D,DE,-3.55107295338489,-3.20333926707894
data,C,DE,-2.06439348309336,-2.98332529555528
data,D,DE,-5.00676963057172,-4.3527530611983
data,D,DE,-1.71700595121201,-2.01219855969318
data,C,DE,-3.15743675258222,-4.33561207592695
data,C,DE,-3.89772538197008,-3.72402993459457
data,C,DE,-4.36747512865025,-4.0342342193116
data,D,DE,-2.18617128359618,-0.875360359401263
data,C,BC,-3.7481707013203,-3.14644884691443
data,D,DE,-2.74828178190455,-2.69272347424574
data,D,DE,-3.72124653133772,-3.05067190073044
data,C,DE,-4.75325190029356,-4.89349636000909
data,D,DE,-2.97980248717473,-1.92572411864754
data,D,DE,-5.36494268629996,-5.81059551434413
data,C,BC,-2.01953337506794,-2.27789429734574
data,C,BC,-0.63124740169747,-0.210044450778003
data,C,BC,-2.15978543361042,-2.95055122729464
data,D,DE,-5.48422129662272,-4.86873691846354
data,C,BC,-3.3928293268472,-4.2464148340877
data,D,DE,-3.05175390786675,-2.11701280856605
data,C,BC,-4.07585518331064,-3.64706252925067
data,D,DE,-2.79262507765124,-1.64848009889834
data,C,DE,-3.82070090514322,-3.76872195264034
data,C,BC,-3.75384799781292,-4.21588130037105
data,C,DE,-4.69221180934886,-4.07442696253598
data,C,DE,-4.84982159397675,-5.20724645635375
data,D,DE,-3.09435567012649,-2.4646324073412
data,C,BC,-4.53528640206008,-5.64301350648602
data,C,BC,-3.44322823091148,-4.33568666044467
data,D,DE,-3.84098913422965,-4.31241271866561
data,D,DE,-1.40867718754528,-0.991165734081839
data,C,DE,-4.35511219151852,-4.84835601897773
data,C,BC,-4.13270739780564,-4.24816189378999
data,D,DE,-3.40968573470351,-2.84359895082489
data,C,BC,-3.08214886891799,-3.45327292409572
data,D,DE,-2.79800895267627,-3.41936067224806
data,D,DE,-4.44109084801158,-5.04191291484183
data,D,DE,-4.55836209507786,-4.2550933366985
data,E,DE,-4.44092683351666,-3.64792147274729
data,D,DE,-6.05694828946839,-6.79180994198379
data,D,DE,-4.56884211221115,-4.05034605964075
data,D,DE,-1.71533985248861,-1.04613364549196
data,D,DE,-4.08427782616949,-5.26293866046243
data,D,DE,-3.13600628524861,-3.47798712294421
data,C,DE,-3.60858000186659,-4.29448637558369
data,D,DE,-3.45406571465535,-3.13260917849866
data,C,BC,-1.68128892336283,-1.7363432867195
data,D,DE,-3.64225966582455,-3.07058688230427
data,C,BC,-0.30420870518802,-0.685822706722067
data,C,BC,-3.77522309458784,-3.61940190415953
data,C,BC,-3.20234861944062,-3.01815245482666
data,C,DE,-5.22092792257477,-5.00384953567829
data,D,DE,-4.32743411150286,-5.47927714929705
data,C,BC,-4.06362266822726,-3.80985257697882
