---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: LnA
    type: numeric
  - name: A
    type: numeric
  - name: LnC
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,LnA,A,LnC
data,D,-4.13792020288047,62.6723400564995,-5.31178470160941
data,C,-2.76512746184863,15.8810640914006,-3.36146358607288
data,D,-4.19669420730975,66.4662438369964,-6.13053150021424
data,D,-4.1463912444852,63.2054950574829,-5.88172049407333
data,B,-4.14796814533313,63.3052424814622,-5.66975285403904
data,C,-3.325015973517,27.7994426939937,-3.37522926735558
data,B,-3.4975070869476,33.033000830715,-4.68282003385645
data,D,-4.38443462115477,80.1928710407049,-7.85147596928509
data,C,-4.39033492710851,80.6674321663066,-5.85157124683536
data,D,-3.87031191561268,47.9573423919793,-4.21527917693404
data,B,-2.56526845419421,13.0041489194429,-4.0580224141122
data,D,-3.85780419046517,47.3612408430176,-4.77246002206091
data,C,-4.91205702583145,135.918715353811,-8.82825252590906
data,C,-3.9972055853972,54.4457931387141,-5.60807653061261
data,D,-3.66572261169807,39.0843687833547,-3.69401822342718
data,D,-1.87432376079903,6.51641097746598,-2.2937241970588
data,C,-2.19419829737047,8.97280465143293,-2.14013130120975
data,D,-2.35343190371796,10.5216170104775,-3.28976197611938
data,D,-4.81460953035251,123.298658525764,-6.45691714430987
data,C,-3.93280538562034,51.049991883544,-6.22726541674051
data,D,-4.22634109088464,68.4662614861231,-6.47112393509705
data,D,-3.71903817826771,41.2247241983365,-4.13824676705089
data,D,-3.16654375919505,23.7253419911999,-3.19295289387995
data,D,-3.14064192803755,23.118702639877,-3.33121738051999
data,C,-4.35962642940893,78.2279053190294,-6.26314472374617
data,D,-1.59605154470586,4.93351415615971,-2.98347897836486
data,E,-4.65015155142294,104.600836781603,-6.60040144367808
data,D,-3.46719330431702,32.046670849376,-3.9899988120721
data,C,-5.01536374178943,150.710946666414,-9.29574537683518
data,E,-3.21771881067653,24.9710913722795,-4.14674303875851
data,D,-3.62882338398265,37.668469208143,-5.30639282777106
data,E,-2.94769522484379,19.0619695070834,-3.41690660909991
data,D,-3.98947494184584,54.0265148526801,-5.01296061986856
data,D,-3.08670355027196,21.9047509197948,-3.99207624200032
data,D,-3.32476020912865,27.792333495715,-4.81983144717016
data,C,-3.43708475733321,31.0961730118864,-5.48040835429147
