---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnARMS
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnARMS
data,D,DE,-3.72630191983833,-5.79964167426695
data,C,BC,-2.70003400153238,-4.49353574897211
data,B,BC,-2.63098835475436,-4.6001732860381
data,C,DE,-3.50293747399335,-4.91704341093348
data,D,DE,-1.69098865303544,-5.00292115973859
data,D,DE,-3.79472546283698,-5.2808156491985
data,C,BC,-4.12181106516751,-6.04558642750784
data,C,DE,-3.04567185306647,-4.84846629441795
data,C,BC,-3.87555793745091,-5.32170515061045
data,D,DE,-3.65369830767211,-5.59061454813736
data,D,DE,-1.95889628046787,-3.528420466803
data,D,DE,-0.84249482270575,-2.26833277404054
data,C,BC,-3.64474532256755,-4.94274954795034
data,C,BC,-2.97335416388782,-5.35409173295125
data,D,DE,-4.89888212597037,-6.33960102640442
data,D,DE,-4.57990323388266,-6.04681457322999
data,C,BC,-4.24146265829919,-6.11533942021562
data,D,DE,-1.70909233950037,-3.07598864238407
data,D,DE,-2.86261349479028,-4.33174898620493
data,C,BC,-3.3390710123673,-5.14955929909214
data,D,DE,-4.9289928360632,-6.44506638780575
data,D,DE,-4.15168747700757,-6.07041145758166
data,D,DE,-2.64291123452744,-3.98197584353724
data,D,DE,-2.31872177860287,-4.23289478578902
data,C,BC,-5.09264531121781,-6.54607992120035
data,C,BC,-4.27059038904708,-5.86985498910768
data,C,DE,-2.70288276176728,-3.99512111996005
data,C,DE,-3.44883635415695,-5.57530838827458
data,C,BC,-4.57192825611558,-6.27790939082095
data,D,DE,-3.62846284082611,-5.67098503940879
data,D,DE,-4.09510929156339,-5.55679540439725
data,D,DE,-2.82809480139911,-4.49948852966202
data,D,DE,-3.10714001578722,-4.85989534965839
data,C,BC,-4.86285094817422,-6.51865884258265
data,D,DE,-3.65358492662805,-5.28558468917395
data,C,BC,-1.8930431413942,-4.01254826411013
data,C,DE,-3.49647379895367,-4.74849544763371
data,C,DE,-2.95086796008785,-4.34884848985058
data,D,DE,-3.94057647017898,-5.44607174988971
data,C,BC,-4.42186907407642,-6.35498878629264
data,D,DE,-4.38850403787858,-6.40262576800032
data,D,DE,-3.70621944221485,-5.58071371980429
data,D,DE,-4.33807933042605,-6.2673633419763
data,D,DE,-2.90623532681586,-4.94282299866686
data,D,DE,-3.58020741231786,-5.1357246466678
data,C,DE,-4.41295311674658,-6.64703943997778
data,C,BC,-2.55220432356987,-4.63027141194525
data,C,DE,-4.15911222227804,-6.16483665695706
data,C,BC,-5.13768558742803,-7.5823245307849
data,C,BC,-3.52389424655305,-5.18075979969873
data,D,DE,-1.45970963777766,-3.64929220586155
data,C,DE,-3.06869586605059,-4.71135900612602
data,D,DE,-3.46928637080328,-4.88673625750145
data,D,DE,-4.38458644299966,-5.84368037122592
data,D,DE,-4.30088792343398,-5.78365464908585
data,C,DE,-3.26930250048682,-4.78133125181695
data,B,AB,-5.28584716924217,-7.55027297882549
data,D,DE,-2.9801885843926,-4.41867324656549
data,D,DE,-3.43858999706626,-5.16430078378147
data,D,DE,-4.03247591337101,-5.44239325767143
data,D,DE,-0.434193212352145,-1.84282826821524
data,D,DE,-2.11911595243444,-3.55441599845867
data,D,DE,-2.53778948464297,-4.04291513394124
data,C,DE,-1.74360341944993,-3.1937341020914
data,D,DE,-4.32563692898435,-6.2682904034811
data,D,DE,-4.06602402907568,-6.22537948197218
data,C,DE,-3.20738618380304,-5.00998710965504
data,C,DE,-3.42778502284381,-5.19914827208795
data,D,DE,-4.77768137491504,-6.61808448696973
data,D,DE,-2.52099824929831,-3.92059719202069
data,C,DE,-1.48762277873769,-2.91697897432173
data,C,DE,-2.84849346589658,-5.19981406801404
data,D,DE,-3.06461030673555,-4.93387328673439
data,C,BC,-3.95117140542442,-5.90369806027345
data,C,BC,-2.59055944814869,-4.16584832259584
data,D,DE,-2.07495750114681,-3.72765994701625
data,D,DE,-5.25659536294982,-7.01320762575647
data,C,BC,-2.21510017379036,-3.85159061485675
data,C,DE,-2.55110343746302,-4.91630243955575
data,C,DE,-3.94764032573908,-5.40670125524058
data,D,DE,-3.25408465545323,-4.62074421636249
data,C,BC,-4.48693005282695,-5.91229555400173
data,C,DE,-3.08556369891882,-5.57095913616042
data,D,DE,-1.95482381458565,-3.68678283485432
data,C,DE,-2.16612989574507,-3.50137933900422
data,C,BC,-1.64822715764468,-3.37194523042753
data,C,BC,-2.00122010994872,-3.68853671565704
data,D,DE,-2.78813115887378,-4.71841666224234
data,C,BC,-2.75953734661325,-4.51824869565402
data,D,DE,-1.68461391933368,-2.93964447544482
data,C,DE,-2.64879588495563,-4.20327842962628
data,C,DE,-4.52955305169806,-5.81901494168968
data,C,BC,-2.46239356515154,-3.88007953342643
data,C,BC,-2.59638964103121,-4.29495374413263
data,C,BC,-4.01523732993486,-5.82816809724681
data,C,BC,-4.21937204241264,-6.28269747111901
data,C,BC,-3.68150710220253,-5.72921173702102
data,D,DE,-4.6188435943974,-6.16642235599363
data,D,DE,-2.6862780907582,-4.39710502954397
data,D,DE,-4.0943374436609,-6.19635284545682
data,D,DE,-1.94274867893108,-4.29400406091807
data,D,DE,-4.51074621217938,-5.82972618375112
data,C,DE,-1.65270110897179,-3.72354392184588
data,C,BC,-1.93747429067296,-3.25029396350272
data,D,DE,-3.66795731882887,-5.52718098422331
data,D,DE,-4.48342000594287,-6.6638103064547
data,C,BC,-3.22726965099352,-4.59703788441108
data,C,DE,-3.77321301973497,-5.1769106942935
data,D,DE,-3.97377311972592,-5.75411752649236
data,D,DE,-3.75948948637817,-5.24581688483735
data,C,DE,-4.04225570155781,-6.08339476698559
data,C,DE,-2.38604787999812,-4.24644542214884
data,D,DE,-2.78688131519722,-3.98926812826218
data,C,BC,-3.92041125276507,-5.17009227756626
data,D,DE,-3.01092350939719,-4.85762759135567
data,D,DE,-2.71321899524227,-4.7288929747059
data,D,DE,-5.66380043800507,-7.43210320106689
data,B,BC,-3.78747436499966,-5.14549581087642
data,C,BC,-5.25778643656359,-7.35463835333541
data,C,BC,-3.43433676388778,-5.20562760556064
data,C,BC,-3.81988661400188,-5.74932991976259
data,D,DE,-3.92870727213014,-5.65695203071157
data,C,BC,-4.29002788610212,-5.98645194642472
data,C,BC,-2.99589515449048,-5.04139551548924
data,D,DE,-3.08336099139165,-4.53135373163758
data,C,BC,-2.78774971754531,-4.2704951982484
data,C,DE,-0.819144760511963,-2.88111713250028
data,D,DE,-3.65640526552084,-5.28185170114191
data,C,DE,-4.10463563847653,-6.26773128072043
data,C,DE,-4.78096499656501,-6.76176991713595
data,C,DE,-3.36108981234119,-5.26377400019224
data,C,BC,-4.71564379311215,-6.85052208943606
data,D,DE,-3.96697803634583,-5.49418067852919
data,C,BC,-3.73501803263979,-5.15485997990483
data,D,DE,-4.06800251764827,-5.76814000282916
data,D,DE,-3.47328769131075,-5.05692337091015
data,E,DE,-3.62191041145966,-5.42445623735877
data,D,DE,-4.72260624088954,-6.5740641170101
data,D,DE,-2.00687271065621,-4.01923164582758
data,D,DE,-4.28756725725895,-6.12978978711259
data,C,DE,-2.8350944775057,-4.98743232912276
data,D,DE,-4.57988368056535,-6.00969081673578
data,C,BC,-4.67073840040935,-6.29930110635496
data,C,BC,-4.39312639072886,-6.68195125634441
data,C,BC,-3.50815721987899,-5.07140099364697
data,C,DE,-1.18254319209511,-3.45338174410538
data,D,DE,-3.29564702828435,-5.50244933271855
data,C,DE,-4.39711660914637,-5.92344910802272
data,C,BC,-3.22487416112346,-4.85864101306535
data,C,DE,-4.7271262912292,-6.05394073383567
data,D,DE,-4.85107705764098,-6.42242766969768
data,D,DE,-4.88226897163786,-6.77263158215592
data,C,DE,-3.69145884478314,-5.3429687379257
data,C,DE,-3.29619502390311,-4.73224394918853
data,C,DE,-3.6606141154683,-5.66106926625277
data,C,DE,-5.01405592626119,-6.62720562687088
data,C,DE,-4.01668055745064,-6.03996344894255
data,C,BC,-2.54340088751294,-4.7087844303081
data,E,DE,-2.54673598163578,-4.08332417156445
data,D,DE,-2.59115302345932,-4.74783290653303
data,C,BC,-3.67201382834539,-5.24265056307857
data,D,DE,-3.29880431642463,-4.78893844230101
data,D,DE,-2.30951605550002,-3.76040606192453
data,D,DE,-3.13106834820308,-4.69354588293116
data,D,DE,-4.74120072943047,-6.08819535913708
data,D,DE,-4.01162082114889,-6.03613200748989
data,D,DE,-2.46692142804605,-3.71409035641476
data,C,DE,-3.19428869955358,-4.55455102767299
data,E,DE,-4.20696166011744,-6.13460827549377
