---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: A
    type: numeric
  - name: LnA
    type: numeric
  - name: LnIA
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,A,LnA,LnIA
data,C,0.0121996118691374,-4.40635114175413,-6.16097557941576
data,C,0.0285263012513261,-3.55692876634892,-3.64953827183521
data,C,0.0270902877249204,-3.60858000186659,-4.74262263967473
data,C,0.0781986503753614,-2.5485028902069,-2.55062173931864
data,C,0.0373952770818057,-3.28621086377094,-3.55685424361044
data,C,0.022911929827696,-3.77609755089644,-4.16157920719317
data,C,0.00922021492352581,-4.68635693110769,-7.11756348805117
data,D,0.0162311933178702,-4.12082037471979,-5.0607595164224
data,D,0.0150279033927031,-4.1978465797777,-4.57041199584036
data,C,0.0125007956922158,-4.38196298132253,-6.52062406081817
data,D,0.193769177859207,-1.64108763314799,-0.357756966020569
data,C,0.0138763065431684,-4.27757245850951,-6.09494210428702
data,C,0.00820253358718357,-4.8033121983878,-7.3015357900515
data,D,0.0929874402324793,-2.37529084621279,-1.99015596714393
data,C,0.0465605122253957,-3.06700247421492,-3.37898263894237
data,C,0.0614216532280608,-2.78999284756094,-2.21721451536273
data,C,0.0084913443395668,-4.76870794731094,-6.43395473957151
data,C,0.0204798547692008,-3.88831357018359,-4.93245233166516
data,D,0.239615637067592,-1.42871915165006,-0.790243901788804
data,C,0.0148356962632807,-4.2107190925166,-5.15602962242245
data,C,0.0629680728095222,-2.76512746184863,-2.80788080707112
data,D,0.0148049712599719,-4.21279225866844,-4.83927886116246
data,C,0.00805322852197704,-4.82168220932349,-6.46098829966464
data,E,0.0459904027320912,-3.0793225405195,-2.99485134500935
data,D,0.0450842181377152,-3.09922302414105,-3.01451642960302
data,C,0.102105598762855,-2.2817477192439,-2.1006226295821
data,C,0.108389473571903,-2.22202430196207,-2.04713165192993
data,D,0.401501471873814,-0.912544079664771,0.388230983080091
data,C,0.0279513429488173,-3.57729003227709,-4.63662499587377
data,C,0.00451499672318617,-5.4003508178751,-8.0590075770383
data,C,0.12439505987159,-2.08429281110876,-1.46510370912478
data,C,0.0591885442915814,-2.82702726440553,-2.90818350951765
data,D,0.0987502735884468,-2.31516110468883,-1.4180981117718
data,C,0.15597417270149,-1.85806484504494,0.24222888916594
data,C,0.0107370066382083,-4.53405894027493,-6.17515872301622
data,C,0.0318674799073591,-3.44616922781311,-4.50975717706508
data,C,0.0246171347665907,-3.70431254328463,-4.91827432202985
data,C,0.0454147066704465,-3.09191929091821,-3.65485848067504
data,C,0.0309128845773433,-3.47658220537597,-5.38536337136399
data,C,0.0725262395065001,-2.6238068583727,-2.69969090176121
data,C,0.0568761344771173,-2.86687945505954,-2.95716145353454
data,C,0.0171481438128804,-4.06586534371285,-5.59492497958011
data,D,0.0226808524952564,-3.78623421285473,-5.02053679227472
data,C,0.0657896038885791,-2.72129344874779,-2.3343990742562
data,C,0.0284652562012743,-3.55907101604787,-4.042267323349
data,D,0.0551044519341205,-2.89852476873474,-4.13284217226907
data,C,0.0351638544048066,-3.34773658746343,-4.17083030120896
data,D,0.0288970727743435,-3.54401497707873,-5.42017468197138
data,D,0.0121870365946985,-4.40738246638016,-5.84502122907956
data,C,0.0312175059202315,-3.46677625433035,-4.05294370324575
data,C,0.0343824381143938,-3.37020936489287,-4.17910121408954
data,C,0.0178724510505167,-4.0244947991427,-6.10884197692356
data,C,0.0541202598868978,-2.91654667364197,-2.96666776616754
data,D,0.00868929514645923,-4.74566345387376,-6.50318002957629
data,C,0.0826927152107353,-2.49262376776423,-1.8967172779036
data,E,0.0406748714468757,-3.20214478637679,-3.48423995117864
data,D,0.00966709233030561,-4.6390277044637,-7.05554837522583
data,D,0.0207423238291418,-3.87557903669359,-4.12027556253511
data,D,0.227790807203907,-1.47932758346328,-0.923143532505632
data,D,0.0120557688021992,-4.4182119948326,-6.10415393324889
data,D,0.0179943448335479,-4.01769774636357,-5.7006469429251
data,D,0.011725850903489,-4.44595939555685,-5.79007023418319
data,D,0.0466005255128793,-3.06614346081371,-2.78495513235088
data,D,0.0176253637616446,-4.03841629153823,-6.38791831250621
data,C,0.136667537742924,-1.99020403424349,-2.24413760337888
data,E,0.0136463352202321,-4.2942842754332,-4.40642993767516
data,D,0.05442607109555,-2.91091199184296,-2.25312196986546
data,D,0.00518373279809116,-5.26222986483867,-7.25265235237615
data,D,0.430634824609779,-0.84249482270575,0.702154068038625
data,C,0.00924047508898739,-4.68416197809325,-6.1122795693606
data,D,0.126325978968862,-2.06888957822911,-1.28643388677025
data,D,0.0639355319863622,-2.74988001601596,-2.05899167180216
data,C,0.00486616171870146,-5.32544980075023,-7.92163761356386
data,D,0.0113541572790507,-4.47817132202633,-7.01120373163318
data,C,0.0446143544366535,-3.10969962338273,-3.30075947902986
data,C,0.172585015999175,-1.75686531754758,-2.24633624102528
data,C,0.016524154826606,-4.10293203968965,-5.57295980950073
data,D,0.0313383877505637,-3.46291148720129,-3.37321036103262
data,C,0.0127580102294755,-4.36159595135399,-5.10585718054186
data,D,0.0157378368270865,-4.15168747700757,-6.89687871448061
data,D,0.00370281869397219,-5.59866094017961,-8.3464393760333
data,E,0.0219622918670688,-3.81842830225514,-3.51164532618211
data,D,0.0562461784814238,-2.87801717831353,-3.17144108804514
data,C,0.581103946129645,-0.542825629131423,1.06477689376689
data,C,0.110467567263303,-2.20303331003589,-1.5750469698105
data,C,0.177386629904178,-1.72942357889064,-1.29262466808699
data,C,0.0788715223756239,-2.53993504941766,-2.04687000276582
data,D,0.124959352236937,-2.07976677666751,-2.27589224304111
data,C,0.0042404250074589,-5.46309177715349,-8.95201356179755
data,C,0.00695179960593848,-4.96875471681735,-6.77154565995135
data,C,0.0142381231170582,-4.25183218526253,-5.09213091814376
data,C,0.0380732472605443,-3.26824341512671,-2.85912633103479
data,D,0.108999742373031,-2.21640976030596,-0.959764135779496
data,C,0.00904363582714954,-4.70569399216733,-5.62646907672707
data,D,0.0546811997093404,-2.90623532681586,-2.55763693129475
data,D,0.0278699170916229,-3.58020741231786,-4.07047083186049
data,B,0.00311673175624473,-5.77097034021113,-8.80987965490505
data,D,0.0349533900619244,-3.35373981752631,-3.69417075377566
data,D,0.0127380341989512,-4.36316294223902,-5.18689556652486
data,C,0.0043994565349807,-5.42627426046361,-7.07620162271146
data,C,0.266484424092652,-1.3224394832657,0.244046753675866
data,D,0.0299970427142162,-3.50665647837173,-6.20390382520532
data,D,0.0109283686664751,-4.51639324077151,-6.69849237088085
data,D,0.0749622617437205,-2.59077046883212,-2.41792288032185
data,D,0.0185218633130706,-3.98880344396809,-4.49756145483426
data,C,0.0246313835615615,-3.70373389459216,-4.9502867742646
data,D,0.033628746326027,-3.39237403236588,-4.42412845184106
data,C,0.038032945786876,-3.26930250048682,-3.65095255330433
data,D,0.0426143266732224,-3.15556477536214,-3.0053130607782
