---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: PGAs
    type: numeric
  - name: Da
    type: numeric
  - name: kmax
    type: numeric
  - name: kh
    type: numeric
  - name: LnA
    type: numeric
  - name: LnV
    type: numeric
  - name: LnK
    type: numeric
  - name: LnD
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,PGAs,Da,kmax,kh,LnA,LnV,LnK,LnD
data,D,0.149252777808827,200,223.5226,0.152,-1.90211391509819,5.04035357515439,-3.7887552632322,5.29831736654804
data,D,0.180342239701989,60,530.8629,0.298,-1.7128989016574,5.45863045390741,-2.92376399492769,4.0943445622221
data,D,0.127174141369286,25,709.7761,0.565,-2.06219793986452,5.46514229506134,-2.63331822255316,3.2188758248682
data,C,0.122562883644493,15,589.4917,0.487,-2.09913104483573,5.01586982919221,-2.81900715059219,2.70805020110221
data,D,0.0106176031298116,10,55.9309,0.533,-4.54524198263244,3.55343911502147,-5.17415079049488,2.30258509299405
data,D,0.0106176031298116,25,44.8874,0.428,-4.54524198263244,3.55343911502147,-5.3941106589839,3.2188758248682
data,D,0.122500410904468,150,56.8173,0.047,-2.09964089468079,4.02145236513832,-5.15842693392432,5.01063529409626
data,C,0.0356676866178804,25,159.9609,0.454,-3.33351013683422,4.21430396559761,-4.12333838037252,3.2188758248682
data,D,0.129524383575235,200,367.0635,0.287,-2.04388612541066,5.62270419227185,-3.2927329331312,5.29831736654804
data,C,0.317519518895175,5,2469.3706,0.787,-1.14721598570382,5.82737290097128,-1.38654921140523,1.6094379124341
data,C,0.317519518895175,125,1112.2962,0.355,-1.14721598570382,5.82737290097128,-2.18408598449428,4.8283137373023
data,C,0.2386511079713,30,1335.0059,0.566,-1.43275259287895,5.88113632149069,-2.00157680044167,3.40119738166216
data,D,0.0411603082405321,20,130.789,0.322,-3.1902808792073,4.12047472865983,-4.32468245311457,2.99573227355399
data,C,0.171213105871854,5,1098.1795,0.649,-1.76484626521472,5.8219457601459,-2.19685870298086,1.6094379124341
data,C,0.0483882411327975,20,203.1784,0.425,-3.02849844657883,4.53355450212307,-3.88418337990035,2.99573227355399
data,C,0.0979143833538874,150,281.03,0.291,-2.32366182140279,4.86266353980823,-3.55980636554094,5.01063529409626
data,C,0.00498736566752601,45,18.7893,0.381,-5.30084743095825,2.97130900010767,-6.26498023186892,3.80666248977032
data,C,0.0192549220884647,15,98.4592,0.518,-3.94998855802495,4.2095881863253,-4.60862554157182,2.70805020110221
data,C,0.0192549220884647,350,41.9603,0.221,-3.94998855802495,4.2095881863253,-5.46154385757303,5.85793315448346
