---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnVRMS
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnVRMS
data,C,BC,-2.37699733987569,-4.42763182772887
data,D,DE,-4.39249974936392,-6.35168595773594
data,C,BC,-1.25144882020859,-2.50246234165473
data,C,BC,-2.65202433603362,-3.12900790215928
data,C,DE,-3.15486621706675,-4.71364724746819
data,C,DE,-2.87354182342778,-5.37605969338686
data,C,BC,-3.8234670164157,-6.8443748631889
data,D,DE,-4.71582856077592,-6.55848620115175
data,D,DE,-4.6390277044637,-6.64494257661342
data,D,DE,-1.47932758346328,-3.23045847685742
data,C,BC,-2.86561339822209,-4.24787353931471
data,C,BC,-4.13560787873308,-7.13508339740714
data,C,BC,-0.946567027519729,-3.46206951507775
data,D,DE,-3.06614346081371,-4.37461639486801
data,D,DE,-1.67435112287316,-3.78791949516589
data,C,BC,-3.23721734231574,-5.61355498455976
data,D,DE,-4.5914772133966,-5.86349253485938
data,D,DE,-4.13297083021049,-6.03479304250488
data,C,BC,-3.21034977563686,-5.65340695652997
data,D,DE,-2.6202738735334,-5.15029885013375
data,D,DE,-2.8731820415377,-4.26273840124816
data,D,DE,-4.50368644368298,-6.60123881422392
data,C,BC,-4.29461945619683,-7.4177051147573
data,C,BC,-4.97111396414975,-6.02780659187052
data,D,DE,-2.45265621071202,-5.25735419305535
data,C,BC,-2.15039397910637,-3.99105473993097
data,C,BC,-4.36159595135399,-5.28096038145061
data,D,DE,-4.15168747700757,-6.5506979421986
data,D,DE,-3.29583457535164,-5.89524787902562
data,C,BC,-1.88220954505371,-3.46475627431371
data,D,DE,-2.00356281629497,-4.48325225047287
data,C,DE,-4.33838834897423,-5.33360846210586
data,C,DE,-2.7449737228128,-5.54102424897562
data,D,DE,-4.53569714342505,-7.29196167036795
data,D,DE,-4.62325842319729,-7.29767591985852
data,C,BC,-2.85758103507582,-4.29347721587751
