---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnD
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnD
data,D,DE,-3.82943204934039,-4.73186682519915
data,D,DE,-2.82538490138322,-5.01265950862876
data,C,BC,-4.39523077360185,-7.16730900465013
data,D,DE,-3.47350005491913,-5.08177079882474
data,D,DE,-4.95004161368311,-5.80535074835444
data,D,DE,-4.19669420730975,-5.82557718905998
data,C,BC,-2.85604858526353,-4.37609780179628
data,B,BC,-4.12652557335853,-4.85876318297682
data,D,DE,-4.95995492112167,-5.87462257035266
data,D,DE,-4.41331727674719,-7.99991826048657
data,D,DE,-2.30911047317179,-3.23209854691188
data,C,BC,-3.83563255984219,-5.26878639770966
data,D,DE,-4.12986067954002,-6.26573745443885
data,D,DE,-3.41719850960618,-4.26754022328799
data,D,DE,-4.47119501500442,-4.44367317144786
data,C,DE,-3.89557248139836,-6.60813518332375
data,C,DE,-4.53405894027493,-7.5572761360554
data,C,DE,-3.44616922781311,-6.16931745358635
data,C,DE,-2.46871082277569,-4.90220214735216
data,D,DE,-4.03593590807109,-3.97011022346253
data,C,BC,-3.99646195265957,-5.70685549237836
data,C,BC,-2.18499718665734,-4.06311767802484
data,D,DE,-3.90030679902359,-5.22331814057563
data,C,BC,-1.89102083699852,-4.39835926178735
data,D,DE,-4.36462428515509,-4.96941960274296
data,D,DE,-2.82594145340916,-4.07996584779828
data,C,BC,-3.34773658746343,-6.02402517295597
data,D,DE,-3.61262756328804,-4.46226753738275
data,C,DE,-3.33696501204597,-6.18044217078574
data,C,BC,-3.45516663729015,-4.73031343905334
data,C,DE,-2.99033258653728,-2.84348634928227
data,D,DE,-3.49566017569665,-5.61869568790939
data,C,BC,-3.58275594912415,-4.34631988691923
data,C,BC,-4.13560787873308,-8.7437161433573
data,C,BC,-2.74429535911936,-6.57222959484526
data,C,BC,-4.23859318737276,-5.84416696318537
data,D,DE,-4.5914772133966,-5.87947829603471
data,C,BC,-3.87555793745091,-4.36351022561936
data,C,BC,-3.38173391931711,-4.2327107312724
data,C,DE,-3.15463461986024,-7.05777367635089
data,D,DE,-4.14913385374338,-5.50577727585763
data,D,DE,-3.13349114820049,-4.70446978113878
data,C,BC,-1.41910101187971,-1.99653506785562
data,C,DE,-5.12337689400727,-6.1887196458268
data,D,DE,-2.79049182697039,-3.60696467918043
data,C,BC,-2.92955060493216,-4.74083417441693
data,D,DE,-4.50238436178392,-8.05630925919163
data,D,DE,-3.425773481917,-4.65116083059261
data,C,DE,-4.24648091567352,-7.49128061728598
data,C,BC,-4.12456989886838,-5.00038541046761
data,C,DE,-3.53588637942388,-5.37459198074661
data,C,DE,-5.0418915886084,-8.88799732472522
data,D,DE,-2.09259288163148,-3.75870146194732
data,D,DE,-2.98806483175114,-5.11408965274759
data,C,BC,-4.25287944431475,-5.52123330833003
data,C,BC,-4.10293203968965,-6.09659224876709
data,D,DE,-3.46291148720129,-4.04072181583947
data,C,BC,-4.00309760997898,-4.82967972729104
data,C,BC,-4.27413898181697,-5.41773441488871
data,D,DE,-2.87801717831353,-5.33775487024926
data,D,DE,-3.45271019212742,-5.70509841582254
data,D,DE,-2.40882981271669,-5.34944524536231
data,D,DE,-2.63227849782147,-5.52538421562182
data,C,BC,-1.72942357889064,-3.37186071421513
data,C,DE,-3.37666790610061,-4.03596854873524
data,D,DE,-4.10893216790443,-6.26776976880127
data,C,DE,-2.95086796008785,-3.96849430503214
data,D,DE,-3.81768817792618,-4.05026788020559
data,C,BC,-4.55103539317299,-5.71969358444552
data,D,DE,-2.59170021503675,-3.80462293667657
data,C,BC,-3.88462870315598,-4.67023912444593
data,C,BC,-3.53930592353781,-3.53872380515344
data,D,DE,-3.12805862056335,-3.33392744833365
data,D,DE,-3.58020741231786,-5.05005305112274
data,C,DE,-2.38247180418682,-4.88476081320229
data,C,DE,-2.51920664771947,-3.89552453130704
data,D,DE,-3.66378911502227,-7.11358153033972
data,D,DE,-4.36029968661546,-8.38324752636294
data,C,DE,-2.9519196127285,-4.80788984498235
data,C,DE,-2.55488845353054,-3.3773267746802
data,D,DE,-3.95472371614405,-4.74669228461161
data,C,BC,-3.24538638665771,-5.17899799568262
data,D,DE,-2.69989168961096,-3.61325500602583
data,D,DE,-3.42131735376177,-4.771295754277
data,C,DE,-3.82128629094902,-4.78799182619394
data,D,DE,-3.89242915067579,-7.21515594285636
data,D,DE,-4.20898642348577,-4.25924376075781
data,C,BC,-3.35490992913135,-6.51631178319939
data,C,BC,-3.72614825087517,-6.99692160124443
data,D,DE,-2.55205652932337,-2.14167448176413
data,C,DE,-3.06869586605059,-4.72735416559543
data,D,DE,-3.42439417589545,-3.47926199756368
data,D,DE,-2.58089586489163,-3.13420729476587
data,D,DE,-4.44540515177455,-4.91527406134254
data,C,DE,-3.08488201302063,-4.23167927728145
data,D,DE,-3.98880344396809,-5.75268899208419
data,C,BC,-3.20452696018091,-5.26991566463803
data,C,DE,-5.4905701376653,-5.86871564970096
data,C,DE,-4.09285963692097,-6.82927094996789
data,D,DE,-5.2200577712929,-4.69778537204859
data,D,DE,-3.78838002134097,-6.47659915776806
data,C,BC,-2.79660171798976,-4.26950264452532
data,C,DE,-3.56912332914586,-5.26482219066232
data,D,DE,-3.41464096460198,-4.39997849272594
data,D,DE,-4.69938279512938,-7.70432614952735
data,D,DE,-4.46365394966649,-8.1021971314519
data,D,DE,-4.90200906987491,-9.01141294317688
data,D,DE,-2.53778948464297,-2.4849841683963
data,C,BC,-2.82114354108114,-4.5633034553162
data,C,DE,-1.9296694827874,-4.31704745054747
data,C,DE,-1.48762277873769,-1.66597985788616
data,C,BC,-4.50994695131138,-7.06512904916688
data,C,BC,-3.84111605778511,-5.10493564334689
data,D,DE,-3.06461030673555,-4.8830160226765
data,D,DE,-5.71803317202268,-6.54989268800213
data,D,DE,-2.07102293863931,-2.37635323685459
data,D,DE,-2.19759985251206,-5.01111901329303
data,C,DE,-4.22812608522344,-4.6666448862499
data,D,DE,-2.62669954217128,-6.01704311456266
data,D,DE,-1.42830634439857,-3.00903928537562
data,D,DE,-4.18726625578749,-4.73099691873761
data,D,DE,-4.61599761059409,-4.81170145440373
data,C,BC,-1.33155738696202,-2.13011764945123
data,C,BC,-0.851573488722804,-2.17798109944101
data,D,DE,-4.57758800282427,-7.60930326817667
